label,price,product_category_name,delivery_days
1,29.99,housewares,242
1,38.25,toys,13
1,132.4,perfumery,334
0,39.5,baby,27
0,90.9,baby,41
1,47.9,perfumery,41
1,84.9,toys,19
1,39.9,electronics,31
1,445.0,health_beauty,18
1,119.99,garden_tools,43
0,339.0,housewares,12
0,139.0,garden_tools,33
1,33.9,sports_leisure,11
1,369.0,watches_gifts,5
1,38.4,furniture_decor,76
1,199.0,luggage_accessories,0
1,329.9,construction_tools_construction,0
1,42.9,cool_stuff,8
1,69.9,health_beauty,9
1,24.99,auto,193
0,98.44,computers_accessories,90
1,10.9,furniture_decor,6
1,160.0,housewares,4
1,13.99,health_beauty,2
0,19.9,housewares,59
1,49.9,stationery,3
1,84.99,health_beauty,376
1,199.0,cool_stuff,6
1,109.9,bed_bath_table,6
1,43.0,watches_gifts,55
1,12.5,sports_leisure,160
1,179.9,bed_bath_table,8
1,149.99,office_furniture,21
1,119.99,office_furniture,122
1,59.9,musical_instruments,122
1,69.99,bed_bath_table,122
0,129.9,bed_bath_table,28
0,89.99,health_beauty,2
1,25.0,housewares,5
1,39.0,stationery,273
0,104.9,sports_leisure,6
0,49.9,garden_tools,184
1,45.0,construction_tools_lights,184
1,148.9,bed_bath_table,28
1,199.0,watches_gifts,201
1,28.0,books_technical,120
0,179.9,office_furniture,18
1,99.9,home_appliances,89
1,62.8,market_place,89
1,80.0,health_beauty,67
1,109.9,baby,2
1,52.39,health_beauty,10
1,83.0,computers_accessories,12
1,159.99,home_confort,6
1,179.9,perfumery,2
0,679.0,telephony,159
1,59.9,housewares,153
1,39.99,computers_accessories,12
1,99.9,furniture_decor,187
1,129.97,housewares,201
1,9.9,furniture_bedroom,244
1,65.0,construction_tools_safety,41
1,68.0,stationery,10
1,199.9,bed_bath_table,31
1,109.9,health_beauty,8
1,119.0,sports_leisure,9
1,35.0,drinks,92
1,174.9,baby,8
0,54.9,baby,23
1,170.0,watches_gifts,100
1,119.0,sports_leisure,219
1,129.9,health_beauty,25
1,89.9,home_confort,15
1,299.0,furniture_decor,184
1,259.9,bed_bath_table,100
1,55.9,sports_leisure,100
0,217.85,home_construction,13
0,142.9,construction_tools_safety,2
1,144.99,cool_stuff,128
